Date,Open,High,Low,Close
07/05/2021 15:30:00,14816.85,14863.05,14765.5,14823.15
10/05/2021 15:30:00,14928.25,14966.9,14892.5,14942.35
11/05/2021 15:30:00,14789.7,14900,14771.4,14850.75
12/05/2021 15:30:00,14823.55,14824.05,14649.7,14696.5
14/05/2021 15:30:00,14749.4,14749.65,14591.9,14677.8
17/05/2021 15:30:00,14756.25,14938,14725.35,14923.15
18/05/2021 15:30:00,15067.2,15137.25,15043.7,15108.1
19/05/2021 15:30:00,15058.6,15133.4,15008.85,15030.15
20/05/2021 15:30:00,15042.6,15069.8,14884.9,14906.05
21/05/2021 15:30:00,14987.8,15190,14985.85,15175.3
24/05/2021 15:30:00,15211.35,15256.25,15145.45,15197.7
25/05/2021 15:30:00,15291.75,15293.85,15163.4,15208.45
26/05/2021 15:30:00,15257.05,15319.9,15194.95,15301.45
27/05/2021 15:30:00,15323.95,15384.55,15272.5,15337.85
28/05/2021 15:30:00,15421.2,15469.65,15394.75,15435.65
31/05/2021 15:30:00,15437.75,15606.35,15374,15582.8
01/06/2021 15:30:00,15629.65,15660.75,15528.3,15574.85
02/06/2021 15:30:00,15520.35,15597.45,15459.85,15576.2
03/06/2021 15:30:00,15655.55,15705.1,15611,15690.35
04/06/2021 15:30:00,15712.5,15733.6,15622.35,15670.25
07/06/2021 15:30:00,15725.1,15773.45,15678.1,15751.65
08/06/2021 15:30:00,15773.9,15778.8,15680,15740.1
09/06/2021 15:30:00,15766.3,15800.45,15566.9,15635.35
10/06/2021 15:30:00,15692.1,15751.25,15648.5,15737.75
11/06/2021 15:30:00,15796.45,15835.55,15749.8,15799.35
14/06/2021 15:30:00,15791.4,15823.05,15606.5,15811.85
15/06/2021 15:30:00,15866.95,15901.6,15842.4,15869.25
16/06/2021 15:30:00,15847.5,15880.85,15742.6,15767.55
17/06/2021 15:30:00,15648.3,15769.35,15616.75,15691.4
18/06/2021 15:30:00,15756.5,15761.5,15450.9,15683.35
21/06/2021 15:30:00,15525.85,15765.15,15505.65,15746.5
22/06/2021 15:30:00,15840.5,15895.75,15752.1,15772.75
23/06/2021 15:30:00,15862.8,15862.95,15673.95,15686.95
24/06/2021 15:30:00,15737.3,15821.4,15702.7,15790.45
25/06/2021 15:30:00,15839.35,15870.8,15772.3,15860.35
28/06/2021 15:30:00,15915.35,15915.65,15792.15,15814.7
29/06/2021 15:30:00,15807.5,15835.9,15724.05,15748.45
30/06/2021 15:30:00,15776.9,15839.1,15708.75,15721.5
01/07/2021 15:30:00,15755.05,15755.55,15667.05,15680
02/07/2021 15:30:00,15705.85,15738.35,15635.95,15722.2
05/07/2021 15:30:00,15793.4,15845.95,15762.05,15834.35
06/07/2021 15:30:00,15813.75,15914.2,15801,15818.25
07/07/2021 15:30:00,15819.6,15893.55,15779.7,15879.65
08/07/2021 15:30:00,15855.4,15885.75,15682.9,15727.9
09/07/2021 15:30:00,15688.25,15730.85,15632.75,15689.8
12/07/2021 15:30:00,15766.8,15789.2,15644.75,15692.6
13/07/2021 15:30:00,15794,15820.8,15744.6,15812.35
14/07/2021 15:30:00,15808.7,15877.35,15764.2,15853.95
15/07/2021 15:30:00,15872.15,15952.35,15855,15924.2
16/07/2021 15:30:00,15958.35,15962.25,15882.6,15923.4
19/07/2021 15:30:00,15754.5,15836.9,15707.5,15752.4
20/07/2021 15:30:00,15703.95,15728.45,15578.55,15632.1
22/07/2021 15:30:00,15736.6,15834.8,15726.4,15824.05
23/07/2021 15:30:00,15856.8,15899.8,15768.4,15856.05
26/07/2021 15:30:00,15849.3,15893.35,15797,15824.45
27/07/2021 15:30:00,15860.5,15881.55,15701,15746.45
28/07/2021 15:30:00,15761.55,15767.5,15513.45,15709.4
29/07/2021 15:30:00,15762.7,15817.35,15737.8,15778.45
30/07/2021 15:30:00,15800.6,15862.8,15744.85,15763.05
02/08/2021 15:30:00,15874.9,15892.9,15834.65,15885.15
03/08/2021 15:30:00,15951.55,16146.9,15914.35,16130.75
04/08/2021 15:30:00,16195.25,16290.2,16176.15,16258.8
05/08/2021 15:30:00,16288.95,16349.45,16210.3,16294.6
06/08/2021 15:30:00,16304.4,16336.75,16223.3,16238.2
