Date,Open,High,Low,Close,Volume
19/08/2020 15:30:00,397.4,402.2,394.5,396.35,3750578
20/08/2020 15:30:00,396,397.9,391.35,394.15,2563762
21/08/2020 15:30:00,397,398.15,392.55,394.05,2233107
24/08/2020 15:30:00,395.95,396.45,390.5,392.2,2093401
25/08/2020 15:30:00,394,394.6,385.5,387.4,3293330
26/08/2020 15:30:00,388.2,394.45,386.55,392.35,3691062
27/08/2020 15:30:00,394.7,397,390.6,391.35,3531298
28/08/2020 15:30:00,391.85,393.65,388,391.55,2849943
31/08/2020 15:30:00,393.8,397.9,372.25,376.15,7035041
01/09/2020 15:30:00,382.45,408,379,405.35,17386465
02/09/2020 15:30:00,405.5,413.4,402.05,411.25,9366591
03/09/2020 15:30:00,412,426.5,410.55,425.35,10173157
04/09/2020 15:30:00,421.7,434.4,418.45,420.95,12330441
07/09/2020 15:30:00,420.95,424.3,415.4,422,3966218
08/09/2020 15:30:00,421.25,424.55,413.9,415.8,2994233
09/09/2020 15:30:00,410,432,409.7,427.9,9364809
10/09/2020 15:30:00,430.6,433.9,425,430.65,3975287
11/09/2020 15:30:00,430.45,439.65,427.35,433.1,5770700
14/09/2020 15:30:00,435.3,440,426.35,430,2912856
15/09/2020 15:30:00,430,445,429,440.05,6044433
16/09/2020 15:30:00,440.05,453.9,434.55,438.65,10058926
17/09/2020 15:30:00,439,444.85,432.55,442.2,4431118
18/09/2020 15:30:00,442.75,463.9,442.75,454,11410425
21/09/2020 15:30:00,453.95,453.95,425.35,429.35,4258326
22/09/2020 15:30:00,429.15,431.65,413.5,422.05,4813418
23/09/2020 15:30:00,424.6,429,418.2,423.9,2537774
24/09/2020 15:30:00,421.6,423.4,406.1,408.25,2881986
25/09/2020 15:30:00,414.65,430.55,410.5,428,4535634
28/09/2020 15:30:00,430,452.2,428.1,450.4,7268448
29/09/2020 15:30:00,452,462.8,449.15,455.5,8425414
30/09/2020 15:30:00,455.5,463.5,444.6,447.7,4767307
01/10/2020 15:30:00,450.55,456.95,444.3,452.65,2796965
05/10/2020 15:30:00,453.6,460,448,458.35,2454225
06/10/2020 15:30:00,461.1,469.25,455.5,457.8,4423127
07/10/2020 15:30:00,457.75,463.1,448.5,452.15,2382861
08/10/2020 15:30:00,453,473.75,451.15,469.15,4296616
09/10/2020 15:30:00,473.5,478,449.5,451.9,8233144
12/10/2020 15:30:00,452,463.65,443.85,462.65,6012803
13/10/2020 15:30:00,461.9,464.45,450.5,451.5,3674721
14/10/2020 15:30:00,452,453.45,444.65,446.7,3073379
15/10/2020 15:30:00,448.05,451,431.4,433.45,3403035
16/10/2020 15:30:00,435,449.5,434.05,447.9,4502795
19/10/2020 15:30:00,448.5,448.5,434.3,437.9,3027835
20/10/2020 15:30:00,438.9,444.15,437.1,439.8,2325637
21/10/2020 15:30:00,439.05,443.5,432.5,439.6,2393158
22/10/2020 15:30:00,441.25,441.8,427.35,429.65,3242065
23/10/2020 15:30:00,420.05,430.5,415.7,417.2,7474787
26/10/2020 15:30:00,419,419.75,389.75,402.55,9674843
27/10/2020 15:30:00,401.25,415,401.25,413.6,6337477
28/10/2020 15:30:00,411.25,416.5,405,406.45,3214903
29/10/2020 15:30:00,402.55,408.85,399,403.2,2353631
30/10/2020 15:30:00,404.3,408.6,398.1,403.6,3090935
02/11/2020 15:30:00,403.6,407,395.6,404.15,2582524
03/11/2020 15:30:00,404.2,412.8,401.6,406.9,4350062
04/11/2020 15:30:00,406.95,411.9,402.35,410.5,2700433
05/11/2020 15:30:00,413,415,406.4,413.3,3442421
06/11/2020 15:30:00,415,416.9,409.8,414.8,2844165
09/11/2020 15:30:00,430,430,413.3,416,6594973
10/11/2020 15:30:00,417.55,417.8,398.05,406.15,6221362
11/11/2020 15:30:00,410,420.5,406.25,417.9,4289470
12/11/2020 15:30:00,415,427.7,413.1,422.7,4545563
13/11/2020 15:30:00,423.9,435.4,423.35,433.45,4922210
17/11/2020 15:30:00,435.05,436.35,422.9,428.15,3459673
18/11/2020 15:30:00,429.8,429.8,419.7,423,3057647
19/11/2020 15:30:00,422.15,426.8,420.35,422.75,2835931
20/11/2020 15:30:00,423.1,425.95,415,419.95,3344749
23/11/2020 15:30:00,421,425.3,417.6,420.25,7777720
24/11/2020 15:30:00,422.35,436,418.1,433.55,6936794
25/11/2020 15:30:00,440,444,418.65,420.15,6156478
26/11/2020 15:30:00,422.45,427.9,418.25,425.75,3912570
27/11/2020 15:30:00,426.1,435.1,422.3,429.35,14778896
01/12/2020 15:30:00,436.95,438.35,429.55,433.3,3028740
02/12/2020 15:30:00,435,436,427.3,430.3,2346320
03/12/2020 15:30:00,430,439.5,429.35,433.9,2909161
04/12/2020 15:30:00,435.05,444,431.45,442.65,6358494
07/12/2020 15:30:00,444.85,453.3,437,450.6,5920675
08/12/2020 15:30:00,451,459,440.55,445.45,6249683
09/12/2020 15:30:00,445.45,453.55,445.1,450.95,3297713
10/12/2020 15:30:00,452.45,457.5,446.85,453.95,2511207
11/12/2020 15:30:00,455,456.9,450,455.5,2521883
14/12/2020 15:30:00,459,461.2,450.55,454,3253116
15/12/2020 15:30:00,454.95,459.9,450,455.3,3057712
16/12/2020 15:30:00,459,462.5,455.4,460,3074459
17/12/2020 15:30:00,461.8,466,458.95,460.9,2153719
18/12/2020 15:30:00,461.4,473.15,460.2,471.95,4375062
21/12/2020 15:30:00,470,473.4,439.6,450,3273294
22/12/2020 15:30:00,447.35,464.15,437,462.15,2403391
23/12/2020 15:30:00,462.2,487.75,459.1,483.6,4958976
24/12/2020 15:30:00,486.25,486.25,472.9,481.95,2511169
28/12/2020 15:30:00,468.9,477.5,463,465.8,8802460
29/12/2020 15:30:00,476.5,476.5,457.35,460.5,7433306
30/12/2020 15:30:00,462,463.65,453.25,458.7,3511633
31/12/2020 15:30:00,459,466.95,456.6,465.4,3582436
01/01/2021 15:30:00,466,468.5,463.35,465.75,2177971
04/01/2021 15:30:00,468,469.8,464.45,467,2821496
05/01/2021 15:30:00,471.5,471.75,460.85,467.65,2558959
06/01/2021 15:30:00,467.35,469.25,453.8,459.75,2960254
07/01/2021 15:30:00,461.5,464.1,453.85,454.8,3183329
08/01/2021 15:30:00,466.15,467.95,461.25,465.65,5550289
11/01/2021 15:30:00,464.65,472.9,457.2,471.25,3550553
12/01/2021 15:30:00,472,474.35,466.1,471.75,3014910
13/01/2021 15:30:00,472,472.2,460.55,462.8,3430890
14/01/2021 15:30:00,463.1,469.3,458.55,466.45,3484973
15/01/2021 15:30:00,466.5,466.6,455,457.05,2795557
18/01/2021 15:30:00,456,459.35,440.5,448.9,2898351
19/01/2021 15:30:00,450.1,456.65,449.35,451.6,2056058
20/01/2021 15:30:00,451.6,453.9,448.05,449.8,2513241
21/01/2021 15:30:00,455,455,440.15,441.95,3617650
22/01/2021 15:30:00,422.4,423,376.3,393.75,28411474
25/01/2021 15:30:00,393.1,394.3,377.65,382.7,13627688
27/01/2021 15:30:00,380,386.95,368.55,377.55,10430905
28/01/2021 15:30:00,376.55,386.8,373,380.1,9111175
29/01/2021 15:30:00,385,386,369,371.8,6608798
01/02/2021 15:30:00,373.5,382.6,363.25,379.2,4007717
02/02/2021 15:30:00,384,394,379.1,391.5,4891113
03/02/2021 15:30:00,396.35,404.9,391.55,401.2,7249108
04/02/2021 15:30:00,402,410.9,399.75,409.9,5668584
05/02/2021 15:30:00,417.7,417.7,398.2,407.2,9808981
08/02/2021 15:30:00,407.65,413.25,406.1,409,3333450
09/02/2021 15:30:00,409,409.95,402.8,404.8,3195358
10/02/2021 15:30:00,404.4,409.85,400,408.15,2646877
11/02/2021 15:30:00,403,412.55,403,406.4,3799980
12/02/2021 15:30:00,407,411.25,403.8,408.05,2998690
15/02/2021 15:30:00,408.95,410.5,405.2,407.95,2040087
16/02/2021 15:30:00,407.95,418.6,406.25,417.4,5407782
17/02/2021 15:30:00,418.95,422.95,415.2,418.7,7395024
18/02/2021 15:30:00,418.7,424.75,414,420.1,4311757
19/02/2021 15:30:00,419.8,419.8,401.6,404,4834156
22/02/2021 15:30:00,405,406.8,395.25,397.65,3183792
23/02/2021 15:30:00,398.25,400.75,384.1,385.35,9103379
24/02/2021 15:30:00,388.8,392.45,385.35,389.5,1470901
25/02/2021 15:30:00,391.7,400.7,390.55,397.8,4350060
26/02/2021 15:30:00,393.95,401.85,387,390.2,5197606
01/03/2021 15:30:00,395,399,387.4,395.65,2691673
02/03/2021 15:30:00,397.8,399.9,392.1,398,2769928
03/03/2021 15:30:00,399,403.8,396.6,402.7,2975783
04/03/2021 15:30:00,399,407.1,398.3,399.75,1939204
05/03/2021 15:30:00,398.5,401.25,393.5,394.6,1607741
08/03/2021 15:30:00,396,396.95,391.3,393.35,1923276
09/03/2021 15:30:00,397.5,397.5,385.6,389,2605409
10/03/2021 15:30:00,392,404.45,388.7,402.55,7942179
12/03/2021 15:30:00,402.55,404.8,397.7,400.2,3756453
15/03/2021 15:30:00,401.05,401.1,387,395.75,2963338
16/03/2021 15:30:00,396,396,389.3,391.7,2743146
17/03/2021 15:30:00,391.7,393.6,386.4,388.2,2105069
18/03/2021 15:30:00,390,392.95,383.25,389.15,2764770
19/03/2021 15:30:00,386.5,398,385.85,395.7,4200208
22/03/2021 15:30:00,395.6,403.4,394.05,402.25,3713607
23/03/2021 15:30:00,403,405.7,398.05,400.75,3443734
24/03/2021 15:30:00,398,403.4,397.7,402.1,2567380
25/03/2021 15:30:00,401.8,405.8,397.35,398.5,3411079
26/03/2021 15:30:00,396.5,399,390.75,395.25,4226903
30/03/2021 15:30:00,400.9,409.5,399.05,408.45,4193149
31/03/2021 15:30:00,413,413.4,405.8,408.9,5228409
01/04/2021 15:30:00,409.2,413.2,408.8,410.55,1860699
05/04/2021 15:30:00,410.55,410.55,401.55,406.45,1318706
06/04/2021 15:30:00,406.6,415.55,405.1,414.25,2107437
07/04/2021 15:30:00,415.95,418.5,412.45,414.2,2467709
08/04/2021 15:30:00,414,416.55,411.15,413.25,2086999
09/04/2021 15:30:00,413.05,424.4,412.2,420.3,3202010
12/04/2021 15:30:00,418.7,420.5,401,404.3,3599430
13/04/2021 15:30:00,406.7,412.35,401.35,406.95,2068043
15/04/2021 15:30:00,411.9,411.9,400,404.6,2744731
16/04/2021 15:30:00,403,418.55,399.35,412.85,5669099
19/04/2021 15:30:00,412.85,412.85,399.75,406.35,4445076
20/04/2021 15:30:00,409.95,409.95,397.8,401.15,4436026
22/04/2021 15:30:00,402,404.75,398.65,399.35,3847504
23/04/2021 15:30:00,399.35,403.35,396,397.6,3386298
26/04/2021 15:30:00,401.2,401.2,395,395.5,2469336
27/04/2021 15:30:00,395,399.05,392.2,398.1,4372334
28/04/2021 15:30:00,398,399.8,387.5,390.85,11363709
29/04/2021 15:30:00,388,402.25,385.95,393.9,13684521
30/04/2021 15:30:00,391.8,391.8,378.2,379.65,9710688
03/05/2021 15:30:00,380.95,381.85,375.1,378.5,3474482
04/05/2021 15:30:00,381,382.15,372.5,373.2,3492859
05/05/2021 15:30:00,375,382.6,370.15,381.3,6252361
06/05/2021 15:30:00,382.95,384.4,377.4,379.7,3004849
07/05/2021 15:30:00,381.55,383.95,379.4,381.15,2241936
10/05/2021 15:30:00,383.05,387.45,382.45,384.5,3712233
11/05/2021 15:30:00,383.55,391.65,382.35,387.65,4098740
12/05/2021 15:30:00,387.65,390.5,384.15,385.45,2213659
14/05/2021 15:30:00,387,392.9,386.25,388.8,3423148
17/05/2021 15:30:00,393.65,393.65,384.6,385.8,2226281
18/05/2021 15:30:00,387.05,388.15,384.2,385,1749322
19/05/2021 15:30:00,383,387.5,382.8,386.65,2120283
20/05/2021 15:30:00,386.65,388.4,382.2,383.55,1321922
21/05/2021 15:30:00,384.5,386.4,381.65,382.5,1448078
24/05/2021 15:30:00,382.65,384.55,381.2,383.45,1993913
